Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020]
Jordan,JOR,Trade (% of GDP),NE.TRD.GNFS.ZS,84.7527857994316,65.3394047397705
Kazakhstan,KAZ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,123343253798.892,125764852860.434
Kazakhstan,KAZ,Trade (% of GDP),NE.TRD.GNFS.ZS,64.8586165517565,57.0264423660931
Kenya,KEN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,82239142552.8551,82882485041.3124
Kenya,KEN,Trade (% of GDP),NE.TRD.GNFS.ZS,31.7594667253776,27.2338992205512
Kiribati,KIR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,359746548.500499,334165519.759841
Kiribati,KIR,Trade (% of GDP),NE.TRD.GNFS.ZS,119.890803250508,95.7337674935237
"Korea, Dem. People's Rep.",PRK,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
"Korea, Dem. People's Rep.",PRK,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
"Korea, Rep.",KOR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1342049844652.39,1310517923287.68
"Korea, Rep.",KOR,Trade (% of GDP),NE.TRD.GNFS.ZS,75.757138965219,69.0340450909562
Kosovo,XKX,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Kosovo,XKX,Trade (% of GDP),NE.TRD.GNFS.ZS,85.7534085053482,75.6080171280001
Kuwait,KWT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,127783514594.934,..
Kuwait,KWT,Trade (% of GDP),NE.TRD.GNFS.ZS,98.1829442585474,..
Kyrgyz Republic,KGZ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,6423165037.30832,5743047836.84217
Kyrgyz Republic,KGZ,Trade (% of GDP),NE.TRD.GNFS.ZS,99.3730765509503,83.4713119514247
Lao PDR,LAO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,14191003289.6231,14355124696.111
Lao PDR,LAO,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Latvia,LVA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,26449289133.6321,26101797792.9905
Latvia,LVA,Trade (% of GDP),NE.TRD.GNFS.ZS,120.28793970529,118.83106399294
Lebanon,LBN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,41106105007.7401,24480122963.0435
Lebanon,LBN,Trade (% of GDP),NE.TRD.GNFS.ZS,62.5593132324084,50.1298042879627
Lesotho,LSO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2268847787.30763,1729599370.95892
Lesotho,LSO,Trade (% of GDP),NE.TRD.GNFS.ZS,135.469405463349,127.612138931429
Liberia,LBR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1753320522.1888,1610821873.50707
Liberia,LBR,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Libya,LBY,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,44338387581.103,24217671732.6386
Libya,LBY,Trade (% of GDP),NE.TRD.GNFS.ZS,78.2091278508398,..
Liechtenstein,LIE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Liechtenstein,LIE,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Lithuania,LTU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,45943513278.2558,47586451311.9647
Lithuania,LTU,Trade (% of GDP),NE.TRD.GNFS.ZS,149.331572538802,137.197575820508
Luxembourg,LUX,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,38127732823.3527,42847402262.3609
Luxembourg,LUX,Trade (% of GDP),NE.TRD.GNFS.ZS,377.843001431952,365.215792405262
"Macao SAR, China",MAC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
"Macao SAR, China",MAC,Trade (% of GDP),NE.TRD.GNFS.ZS,114.392296815029,121.039434805481
Madagascar,MDG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11593535911.7563,10776840464.3213
Madagascar,MDG,Trade (% of GDP),NE.TRD.GNFS.ZS,62.6013230457367,49.0107073650291
Malawi,MWI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,9623854586.5223,10739663745.0461
Malawi,MWI,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Malaysia,MYS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,257059110714.374,241603052692.831
Malaysia,MYS,Trade (% of GDP),NE.TRD.GNFS.ZS,123.028508571874,116.82856135402
Maldives,MDV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4506467888.69914,3081527515.81454
Maldives,MDV,Trade (% of GDP),NE.TRD.GNFS.ZS,147.850993686916,117.778071744504
Mali,MLI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,14658522526.0324,14556365122.3053
Mali,MLI,Trade (% of GDP),NE.TRD.GNFS.ZS,63.6587027641655,66.9905742801705
Malta,MLT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Malta,MLT,Trade (% of GDP),NE.TRD.GNFS.ZS,275.290256906726,291.50138826211
Marshall Islands,MHL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Marshall Islands,MHL,Trade (% of GDP),NE.TRD.GNFS.ZS,152.26693261681,108.414239040038
Mauritania,MRT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,7088158821.87541,7054571577.75054
Mauritania,MRT,Trade (% of GDP),NE.TRD.GNFS.ZS,96.1844836442174,94.6559264499393
Mauritius,MUS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,14004031376.0392,10548056949.3298
Mauritius,MUS,Trade (% of GDP),NE.TRD.GNFS.ZS,96.2888687542471,85.8837350310747
